Gaia Username,Type (Character/Pokemon),Name,Belongs To Character,Nickname,Gender,Level,Shiny (Y/N),Shadow (Y/N),Age,Pronouns,Birthday,Height,Character Species,Hometown,Short Description,History
Arkelos,Character,Arkelos Fyrestone,,,Male,,,,29,,,,Human (afflicted by a curse causing periodic canine-like transformation of hands and feet),"Lavaridge Town, Hoenn","A bright but volatile 29-year-old trainer from Lavaridge Town, marked by an unexplained canine curse from Mt. Pyre.","Arkelos grew up in Hoenn with traveling parents and was inspired to become a trainer after meeting Champion Alder in Unova, beginning his journey at age 13 with a fondness for Mt. Pyre and Mt. Chimney. Research at Mt. Pyre triggered nightmares and revealed a curse on him, requiring psychic intervention. At 17, his cherished partner Poochyena sacrificed itself to save him, devastating Arkelos. He left Hoenn for five years of travel across the regions before joining an organization in search of answers."
Arkelos,Pokemon,Houndour,Arkelos Fyrestone,,F,66,N,N,,,,,,,,
Arkelos,Pokemon,Arcanine,Arkelos Fyrestone,,M,66,N,N,,,,,,,,
Arkelos,Pokemon,Poochyena,Arkelos Fyrestone,,F,66,N,N,,,,,,,,
Arkelos,Pokemon,Rockruff,Arkelos Fyrestone,,M,66,N,N,,,,,,,,
Arkelos,Pokemon,Furfrou,Arkelos Fyrestone,,M,66,N,N,,,,,,,,
Arkelos,Pokemon,Alakazam,Arkelos Fyrestone,,M,82,N,N,,,,,,,,
Arkelos,Pokemon,Lucario,Arkelos Fyrestone,,F,66,N,N,,,,,,,,
Arkelos,Pokemon,Lillipup,Arkelos Fyrestone,,F,66,N,N,,,,,,,,
Arkelos,Character,Jezebel Pyrewood,,,Female,,,,20,,,"6'2""",Human,Kalos region (nomadic Gypsy caravan),"A tall, cheerful 20-year-old cook from a nomadic Kalos caravan, partnered with a rare silver-tailed Vulpix.","Born into a nomadic caravan of Kalos Gypsies, Jezebel began a culinary apprenticeship at age 8 — the youngest in her group — excelling at experimental dishes and foraging rare ingredients from the Laverre Nature Trail, and keeping detailed journals of areas, Pokemon, and plants. Her caravan became renowned in Lumiose City for its exotic trade goods. At 17, during the Harvest Festival succession ceremony, the egg she selected did not make her the chosen Fire Channeler successor. Devastated, she fled to an alley, where her egg hatched into a unique silver-tailed Vulpix — an unexpected gift that redeemed her disappointment."
Arkelos,Pokemon,Vulpix,Jezebel Pyrewood,Cayenne,F,66,N,N,,,,,,,,
Arkelos,Pokemon,Vulpix,Jezebel Pyrewood,Spearmint,M,66,N,N,,,,,,,,
Arkelos,Pokemon,Rattata,Jezebel Pyrewood,Allspice,M,66,N,N,,,,,,,,
Arkelos,Pokemon,Sizzlipede,Jezebel Pyrewood,Hotpad,F,66,N,N,,,,,,,,
Arkelos,Pokemon,Rolycoly,Jezebel Pyrewood,??,,66,N,N,,,,,,,,
Arkelos,Pokemon,Kleavor,Jezebel Pyrewood,??,,66,N,N,,,,,,,,
Arkelos,Pokemon,Vulpix,Jezebel Pyrewood,,,55,N,N,,,,,,,,
avem xxvii,Character,"Chiasa ""Chi"" Addams",,,Female,,,,17,,March 4th (Pisces),,Channeler,"Driftveil City, Unova",A cynical but fiercely protective 17-year-old Channeler from Driftveil City's markets who ran from trouble at home into the ranks of a shady team.,"Chiasa was born in March to merchant parents Erin and William Addams and grew up with four siblings in the market city of Driftveil, Unova. As a youth she caused trouble stealing from market stands, and after messing with the wrong people and facing possible police involvement, she fled rather than return home. Seeking a more exciting life, she followed rumors of a team of people up to no good and joined them, bringing along a Cranidos she had caught during her stealing days. She is cynical, quiet, observant, affectionate, protective, honest, and trusting, and would give her life for her loyal Pokemon companions."
avem xxvii,Pokemon,Cranidos,"Chiasa ""Chi"" Addams",,M,30,N,N,,,,,,,,
Blizzard120,Character,Blizzard,,,Male,,,,33,He/him,,"~6'3""",Pokemon Hybrid (Articuno),"Mahogany Town, Johto","A 33-year-old Articuno hybrid and former apprentice of Gym Leader Pryce, a strategic jack-of-all-trades frontline leader.","Originally a human apprentice to Pryce, the Mahogany Gym Leader, Blizzard was kidnapped by a deity-like being named Celcius and forcibly transformed into an Articuno hybrid, devastating surrounding regions with ice attacks while under its control. After regaining autonomy he struggled with guilt until an ambitious woman named Freth arrived pursuing Celcius; their conflicts escalated across regions as he learned to control his hybrid abilities. When Celcius captured and forcibly transformed Freth, Blizzard defeated Celcius and saved her at nearly the cost of his life. He resumed his gym apprenticeship while Freth worked toward redemption, and the two grew romantically close. Later he rescued an orphaned Vulpix hybrid, became entangled in a conspiracy involving the Pokemon Rangers, and joined Snagem to combat authoritarian threats to his region."
Blizzard120,Pokemon,Weavile,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Glaceon,Blizzard,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Typhlosion,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Porygon-Z,Blizzard,,,100,N,N,,,,,,,,
Blizzard120,Pokemon,Scizor,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Raichu,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Rotom,Blizzard,,,100,N,N,,,,,,,,
Blizzard120,Pokemon,Zangoose,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Gardevoir,Blizzard,Telia,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Gallade,Blizzard,Psy,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Froslass,Blizzard,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Articuno,Blizzard,,,100,N,N,,,,,,,,
Blizzard120,Pokemon,Lucario,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Golduck,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Beartic,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Sigilyph,Blizzard,,,100,N,N,,,,,,,,
Blizzard120,Pokemon,Combusken,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Marshtomp,Blizzard,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Decidueye,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Alolan Vulpix,Blizzard,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Galarian Linoone,Blizzard,,M,100,N,N,,,,,,,,
Blizzard120,Character,Freth,,,Female,,,,33,She/her,,"6'0""","Pokemon Hybrid (Articuno, Galarian Variant)","Violet City, Johto","A 33-year-old Galarian Articuno hybrid and reformed crime boss, now a caring but fierce member of Blizzard's family and Snagem.","Freth inherited a criminal organization from her assassinated father and expanded its influence, identifying the ice elemental deity Celcius as the key to unprecedented power. Her ambitions collapsed when she encountered Blizzard, an Articuno hybrid determined to stop her; after months of escalating confrontations, Celcius captured her and forcibly transformed her into a hybrid pawn. Blizzard's victory over Celcius freed her, but her gang abandoned her, and with ranger interference and hybrid discrimination blocking legitimate work, she sought Blizzard's help. He reluctantly took her in with community service at the gym, where she softened, earned his trust, became part of his family, and developed romantic feelings for him. When Snagem formed to combat the Rangers, she contributed her criminal underworld knowledge and combat skills to defeat the Rangers and later threats."
Blizzard120,Pokemon,Mamoswine,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Walrein,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Glalie,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Cloyster,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Alakazam,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Cryogonal,Freth,,,100,N,N,,,,,,,,
Blizzard120,Pokemon,Absol,Freth,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Hitmonchan,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Oshawott,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Hakamo-o,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Galarian Darumaka,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Cufant,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Hisuian Braviary,Freth,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Grovyle,Freth,,M,100,N,Y,,,,,,,,
Blizzard120,Pokemon,Hisuian Sneasel,Freth,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Fennekin,Freth,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Charcadet,Freth,,F,100,N,N,,,,,,,,
Blizzard120,Character,Tristen,,,Male,,,,13 (approximately),He/him,,"5'0""",Pokemon Hybrid (Manectric),Unknown,"A kind-hearted, naive 13-year-old Manectric hybrid rescued from a brutal tribe and raised by Blizzard and Freth.","Tristen was kidnapped from his biological parents by a primitive hybrid tribe and endured years of torturous conditioning before being rescued by the people who became his brother and father. Blizzard trained him physically and in Pokemon battling while Freth taught him reading, writing, history, and mathematics; he found he preferred academics but stayed committed to training to protect his adopted home. Exceptionally kind but poor with social nuance and sarcasm, he still sees ethics in black-and-white terms. During the assault on Realgam Tower he harnessed the powerful Zapdos Heart despite inadequate capacity, unleashing a devastating electrical attack that put him into a coma but triggered his premature evolution into a Manectric hybrid. He remains physically weaker than experienced hybrids, relying on intelligence and his Pokemon allies."
Blizzard120,Pokemon,Xatu,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Castform,Tristen,,,100,N,N,,,,,,,,
Blizzard120,Pokemon,Mawile,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Espeon,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Zebstrika,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Dragonite,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Galvantula,Tristen,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Weavile,Tristen,,F,100,N,N,,,,,,,,
Blizzard120,Pokemon,Magmortar,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Torracat,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Mienshao,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Rampardos,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Electabuzz,Tristen,,M,100,N,Y,,,,,,,,
Blizzard120,Pokemon,Gyarados,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Golisopod,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Rookidee,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Sprigatito,Tristen,,M,100,N,N,,,,,,,,
Blizzard120,Pokemon,Chespin,Tristen,,M,100,N,N,,,,,,,,
Cecile Silverstone,Character,Ulla Hanabi,,,Female,,,,10,She/her,,,Channeler (Fairy-type human hybrid),"Iki Town, Alola",A brave 10-year-old Fairy Channeler from Iki Town on a quest to save her Shadow-corrupted best friend Riolu.,"Ulla grew up surrounded by Pokemon in Iki Town. At age 8 she defended an injured Riolu from wild attackers with only a stick, forging an unbreakable bond; the two exchanged matching necklaces and vowed to adventure together once she turned ten, and a curious Rowlet joined their circle. When suspicious strangers appeared in Iki Town, she found Rowlet wounded and Riolu converted into a Shadow Pokemon by the mysterious men. On her tenth birthday she chose Rowlet as her starter and set out to find her best friend, discovering Riolu at a robbed Pokemon Center, where he partially broke free of his shadow state to protect them. Team Snagem then recruited her to purge the darkness from Riolu and prevent similar incidents."
Cecile Silverstone,Pokemon,Lucario,Ulla Hanabi,none listed,M,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Decidueye,Ulla Hanabi,none listed,M,70,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Togekiss,Ulla Hanabi,none listed,M,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Dragonair,Ulla Hanabi,none listed,F,66,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Wailord,Ulla Hanabi,none listed,M,76,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Comfey,Ulla Hanabi,none listed,,36,Y,N,,,,,,,,
Cecile Silverstone,Pokemon,Minior,Ulla Hanabi,none listed,,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Vulpix,Ulla Hanabi,Velvet,,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Lycanroc,Ulla Hanabi,none listed,,61,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Mimikyu,Ulla Hanabi,none listed,,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Alolan Ninetales,Ulla Hanabi,Shiro,,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Rookidee,Ulla Hanabi,none listed,,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Eevee,Ulla Hanabi,none listed,,36,N,N,,,,,,,,
Cecile Silverstone,Character,Leon Hanabi,,,Male,,,,20,He/him,,,Channeler (Poison-type human hybrid),"Iki Town, Alola","Ulla's laid-back 20-year-old older brother, a Poison Channeler who raised her after their parents' deaths.","Leon, Ulla's older brother, was a relaxed child who liked napping in meadows, where his longtime companion Budew found him; when it evolved into Roselia it grew energetic and pushed him toward greater activity. The siblings lost their parents when Leon was 10 and Ulla was an infant, forcing them to move in with their grandparents, and Leon became Ulla's primary caregiver until she was 6, when he left on his own Pokemon journey with Roselia, gifting her their mother's cherished necklace before departing. He won numerous gym battles during his travels but never pursued championship status, regularly returning home to visit Ulla and their parents' grave."
Cecile Silverstone,Pokemon,Roserade,Leon Hanabi,none listed,F,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Pyroar,Leon Hanabi,none listed,M,71,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Crobat,Leon Hanabi,none listed,M,58,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Litten,Leon Hanabi,none listed,M,36,N,N,,,,,,,,
Cecile Silverstone,Pokemon,Venusaur,Leon Hanabi,none listed,M,68,N,N,,,,,,,,
Darksol88,Character,Sol,,,Male,,,,65,He/him,February 3rd,,Ho-oh Hybrid,"Originally from Paldea; later Pyrite Town and Agate Village, Orre","A 65-year-old Ho-oh hybrid ex-mercenary and co-founder of the modern Snagem, fighting on the frontlines with sword and hybrid abilities.","Sol originated in Paldea before settling in Pyrite Town, where survival accustomed him to moral compromises including theft and mercenary work. Through a client named Sub he learned of a chimeric creature in need of rescue, which led him to co-found the modern iteration of Snagem alongside Sub. He attempted retirement in Agate Village — his wife is deceased and he has a son, Aden — but rejoined the team as circumstances demanded. He fights on the frontlines with swordplay combined with hybrid abilities and uses teleportation tricks via his Xatu for tactical advantage, alternating between active combat and nomadic travels."
Darksol88,Pokemon,Charizard,Sol,Xipil,M,100,N,Y,,,,,,,,
Darksol88,Pokemon,Rattata,Sol,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Xatu,Sol,Karasi,F,100,N,N,,,,,,,,
Darksol88,Pokemon,Quilava,Sol,Calida,F,92,N,N,,,,,,,,
Darksol88,Pokemon,Gallade,Sol,Arnau,M,98,N,N,,,,,,,,
Darksol88,Pokemon,Swampert,Sol,Rio,M,100,N,N,,,,,,,,
Darksol88,Pokemon,Trapinch,Sol,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Liepard,Sol,,F,98,N,N,,,,,,,,
Darksol88,Pokemon,Cofagrigus,Sol,,M,100,N,N,,,,,,,,
Darksol88,Pokemon,Volcarona,Sol,Nusku,M,100,N,N,,,,,,,,
Darksol88,Pokemon,Bagon,Sol,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Durant,Sol,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Raboot,Sol,Inigo,M,94,N,N,,,,,,,,
Darksol88,Pokemon,Leafeon,Sol,Hoja,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Dratini,Sol,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Sirfetch'd,Sol,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Buzzwole,Sol,,,78,N,N,,,,,,,,
Darksol88,Pokemon,Capsakid,Sol,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Torkoal,Sol,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Cyclizar,Sol,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Iron Valiant,Sol,,,78,N,N,,,,,,,,
Darksol88,Pokemon,Slowbro,Sol,,M,100,N,N,,,,,,,,
Darksol88,Character,Aden,,,Male,,,,29,He/him,January 2nd,,Celebi/Ho-oh Hybrid (uncertain),"Agate Village, Orre","Sol's curious, self-styled ""cursed"" 29-year-old hybrid son, a rear-support trainer with a strengthening Celebi connection.","Aden, Sol's son, inherited hybrid genetics from both parents and grew up curious and adventurous, though he sees himself as cursed by unusual events; for his safety, Sol arranged for Cera to accompany him on dangerous operations. Granted two family Pokemon, he set out on his own journey and, through involvement with the Ranger Union during corruption investigations, became one of Snagem's emerging recruits under Blizzard's mentorship. After obtaining his trainer license he challenged Johto's gym circuit, journeyed independently, and reunited with the team in Kalos. Frustration over his task competency prompted a departure to reassess his contributions, and through subsequent adventures his Celebi connection strengthened significantly, enabling him to assist team members during the first Ultimate Weapon firing."
Darksol88,Pokemon,Rhydon,Aden,Tin (per extraction note),M,100,N,N,,,,,,,,
Darksol88,Pokemon,Arcanine,Aden,Scruffy,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Poliwhirl,Aden,,M,100,N,N,,,,,,,,
Darksol88,Pokemon,Nidorino,Aden,,M,94,N,N,,,,,,,,
Darksol88,Pokemon,Raticate,Aden,,M,98,N,N,,,,,,,,
Darksol88,Pokemon,Flaaffy,Aden,Amaranth,F,93,N,Y,,,,,,,,
Darksol88,Pokemon,Geodude,Aden,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Scyther,Aden,,M,78,N,Y,,,,,,,,
Darksol88,Pokemon,Eevee,Aden,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Dubwool,Aden,,F,100,N,N,,,,,,,,
Darksol88,Pokemon,Alcremie,Aden,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Fomantis,Aden,,M,78,N,N,,,,,,,,
Darksol88,Character,Amaranth,,,Female,,,,Unknown (approximately Aden's age),She/her,,,"Human, experimentally converted into a hybrid (from Sol's DNA); budding Flying Channeler",Unknown,"An amnesiac woman created from Sol's DNA in Ein's experiments, now a quiet, wind-attuned support member of Snagem.","An amnesiac initially believed to be Sol's opposite-gender clone, Amaranth was in truth the product of Ein's experiments using Sol's DNA, converted into a hybrid designed as sustenance for another experimental creature and as an immortal vessel for Ein himself. During a confrontation with Sol in Black City, her control chip burned away in her death and resurrection; recovered from Mt. Battle, she was brought to Snagem by Sol for rehabilitation. Despite inexperience as a hybrid, she shows strong wind attunement that persists through multiple resurrections, and her involvement with the team helped her reconstruct her identity. As a budding Flying Channeler she prioritizes support roles while maintaining a quiet reserve."
Darksol88,Pokemon,Flareon,Amaranth,Kindle,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Butterfree,Amaranth,,M,88,N,N,,,,,,,,
Darksol88,Pokemon,Yanma,Amaranth,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Lickitung,Amaranth,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Togekiss,Amaranth,Breeze,F,78,N,Y,,,,,,,,
Darksol88,Pokemon,Kangaskhan,Amaranth,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Hawlucha,Amaranth,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Carbink,Amaranth,,,78,N,N,,,,,,,,
Darksol88,Pokemon,Woobat,Amaranth,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Tropius,Amaranth,,M,78,N,Y,,,,,,,,
Darksol88,Pokemon,Wurmple,Amaranth,,F,78,N,Y,,,,,,,,
Darksol88,Pokemon,Goomy,Amaranth,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Farfetch'd,Amaranth,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Pidgeot,Amaranth,Gale,F,100,N,N,,,,,,,,
Darksol88,Pokemon,Bounsweet,Amaranth,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Dodrio,Amaranth,Swift,M,100,N,N,,,,,,,,
Darksol88,Pokemon,Minior,Amaranth,,,78,N,N,,,,,,,,
Darksol88,Pokemon,Pikipek,Amaranth,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Fletchinder,Amaranth,Forge,M,95,N,N,,,,,,,,
Darksol88,Pokemon,Pelipper,Amaranth,,F,100,N,N,,,,,,,,
Darksol88,Pokemon,Litten,Amaranth,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Corvisquire,Amaranth,,M,96,N,N,,,,,,,,
Darksol88,Pokemon,Braviary,Amaranth,Squall,M,100,N,N,,,,,,,,
Darksol88,Pokemon,Flaaffy,Amaranth,,F,93,N,N,,,,,,,,
Darksol88,Character,Cera,,,None/Female,,,,Presumed under 100 years,She/her,,,"Mew (formerly chimeric, infused with Celebi and Jirachi DNA, later extracted)",Faraway Island (birthplace),"A childlike but protective Mew, once ""Subject: Origin"" of Project Genesis, rescued from Ein's lab and raised as family by Snagem.","Originally designated ""Subject: Origin"" in Project Genesis (which created XD002: Shadow Mewtwo), Cera was captured by Team Rocket, smuggled into Orre, and given to Ein for experimentation until Sub and Sol rescued her from the Citadark Isle laboratory. She existed in a chimeric form infused with Celebi and Jirachi DNA and was raised more as family than Pokemon, rarely entering Poke Balls; after a rescue in Kalos, Sub captured her with a Master Ball under team ownership via the GRAY system. She briefly pursued Ranger Union membership during the fight against internal corruption before defecting to independence and eventually surrendering her Capture Styler. Foreign DNA extraction after a Deoxys incident restored her balance but eliminated her hybrid abilities, though she gained enhanced energy detection; encouraged by the team in Alola, she grew in confidence and defeated XD002 in the Fairy Realm. Uniquely immune to the Shadow Virus (alongside Clear Body Pokemon), her DNA proved instrumental in vaccine development."
Darksol88,Pokemon,Drifloon,Cera,Wisp,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Lapras,Cera,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Pichu,Cera,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Joltik,Cera,Joltie,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Tyranitar,Cera,Kiri,F,100,N,N,,,,,,,,
Darksol88,Pokemon,Applin,Cera,,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Starmie,Cera,,,78,N,Y,,,,,,,,
Darksol88,Pokemon,Lileep,Cera,,M,78,Y,N,,,,,,,,
Darksol88,Pokemon,Smoliv,Cera,,F,78,N,N,,,,,,,,
Darksol88,Pokemon,Crabominable,Cera,Hugo,M,78,N,N,,,,,,,,
Darksol88,Pokemon,Houndoom,Cera,,F,100,N,N,,,,,,,,
Darksol88,Pokemon,Sharpedo,Cera,Chum,M,100,N,N,,,,,,,,
DeoLux,Character,DeoLux,,,Male,,,,28,,,Approximately 7 feet,Hybrid (Shiny Luxray),"Sandgem, Sinnoh","A hulking but shy 28-year-old shiny Luxray hybrid, former Sandgem police captain turned Snagem's team cook.","DeoLux was originally a human programmer and Captain at the Sandgem Police Department. He was mysteriously knocked unconscious and awoke transformed into a shiny Luxray hybrid; after breaking free violently, he fled Sandgem by boat. Upon joining Team Snagem he found greater camaraderie than in his hometown, developed skills beyond violence, and became the team cook, forming bonds with his Pokemon team and a Yamper hybrid companion he considers emotional support. Despite his formidable 7-foot, 344-pound muscular frame, he is inherently shy, enjoys cooking, working out, and learning, and values doing what is right while disliking chaos and arrogance."
DeoLux,Pokemon,Charmander,DeoLux,Rex,,15,N,N,,,,,,,,
DeoLux,Pokemon,Machop,DeoLux,Major,,15,N,N,,,,,,,,
DeoLux,Pokemon,Steelix,DeoLux,Aval,,15,N,N,,,,,,,,
DeoLux,Pokemon,Shinx,DeoLux,Lil' Spark,,15,N,N,,,,,,,,
DeoLux,Pokemon,Cyclizar,DeoLux,Commodore,,15,N,N,,,,,,,,
DeoLux,Pokemon,Psyduck,DeoLux,Xavier,,15,N,N,,,,,,,,
DeoLux,Pokemon,Bagon,DeoLux,Gorgon,,15,N,N,,,,,,,,
